Region,Branch,Orders,NetSales,AOV,ItemsPerOrder,YoYGrowthPct,RegionSharePct,RankInRegion
Central,Seremban Branch,121,11157.85,92.21,8.79,56.8,21.9,1
Central,Kepong Branch,93,10221.79,109.91,10.12,40.6,20.0,2
Central,Cheras Branch,107,10153.93,94.90,9.59,44.5,19.9,3
Central,Shah Alam Branch,114,10057.06,88.22,9.56,43.6,19.7,4
Central,Rawang Branch,107,9408.57,87.93,8.60,3.2,18.4,5
East Coast,Kuantan Branch,121,10925.09,90.29,8.98,38.9,100.0,1
East Malaysia,Kuching Branch,94,9053.25,96.31,9.04,10.7,100.0,1
Northern,Georgetown Branch,118,12420.73,105.26,9.30,74.5,36.5,1
Northern,Ipoh Branch,127,11537.48,90.85,9.70,23.7,33.9,2
Northern,Alor Setar Branch,103,10058.36,97.65,9.18,30.6,29.6,3
Southern,Johor Bahru Branch,127,9967.00,78.48,8.56,42.4,50.1,1
Southern,Melaka City Branch,118,9929.50,84.15,9.13,19.7,49.9,2
