Region,Hour,WeekdaySales,WeekendSales,WeekdayOrders,WeekendOrders,HourSharePct
Central,8,2726,1490,34,17,3.42
Central,9,3939,1534,38,16,4.44
Central,10,4134,1527,48,20,4.60
Central,11,5087,2325,56,23,6.02
Central,12,4889,2367,57,23,5.89
Central,13,5074,2621,57,27,6.25
Central,14,5482,1293,64,17,5.50
Central,15,4858,1524,56,16,5.18
Central,16,5366,1541,64,22,5.61
Central,17,9199,4874,103,51,11.43
Central,18,6262,3534,80,43,7.95
Central,19,8531,4432,95,55,10.53
Central,20,7489,3074,96,40,8.58
Central,21,12022,4709,113,53,13.59
Central,22,706,513,11,11,0.99
Central,23,7,14,1,1,0.02
East Coast,8,653,927,9,9,6.15
East Coast,9,752,157,7,3,3.54
East Coast,10,941,557,11,6,5.83
East Coast,11,1108,619,14,7,6.72
East Coast,12,475,216,8,4,2.69
East Coast,13,1533,751,15,6,8.89
East Coast,14,728,360,11,4,4.23
East Coast,15,1284,302,16,3,6.17
East Coast,16,1027,335,10,4,5.30
East Coast,17,1197,555,14,10,6.82
East Coast,18,1679,767,20,11,9.51
East Coast,19,1340,478,18,13,7.07
East Coast,20,2038,441,26,4,9.65
East Coast,21,3105,651,21,16,14.62
East Coast,22,285,440,3,2,2.82
East Malaysia,8,989,449,9,4,5.91
East Malaysia,9,691,288,8,3,4.02
East Malaysia,10,1308,930,12,7,9.19
East Malaysia,11,599,458,9,3,4.35
East Malaysia,12,247,297,5,4,2.24
East Malaysia,13,1311,190,14,4,6.16
East Malaysia,14,1099,215,17,2,5.40
East Malaysia,15,424,275,7,5,2.87
East Malaysia,16,1236,263,17,5,6.15
East Malaysia,17,1405,415,18,6,7.48
East Malaysia,18,2284,573,24,6,11.74
East Malaysia,19,2276,242,25,7,10.34
East Malaysia,20,1771,546,21,7,9.52
East Malaysia,21,2116,926,23,9,12.50
East Malaysia,22,311,209,2,2,2.13
Northern,8,3177,476,32,6,4.68
Northern,9,2095,1365,24,11,4.43
Northern,10,2250,1558,27,15,4.88
Northern,11,2661,1031,31,12,4.73
Northern,12,2031,1530,30,13,4.56
Northern,13,3438,429,35,8,4.95
Northern,14,3985,1707,38,18,7.29
Northern,15,2577,1472,26,17,5.19
Northern,16,2727,1218,34,11,5.05
Northern,17,5663,2838,70,33,10.89
Northern,18,5733,3487,62,32,11.81
Northern,19,4292,2487,55,32,8.68
Northern,20,5445,2320,59,33,9.95
Northern,21,4844,3341,55,38,10.49
Northern,22,1235,648,12,5,2.41
Southern,8,1609,272,15,5,3.90
Southern,9,2387,993,19,8,7.01
Southern,10,1574,159,21,5,3.59
Southern,11,1850,452,23,8,4.77
Southern,12,2182,891,23,11,6.37
Southern,13,1252,1132,15,9,4.94
Southern,14,1983,894,21,14,5.96
Southern,15,1271,1445,15,11,5.63
Southern,16,1829,667,25,9,5.17
Southern,17,3848,2986,44,33,14.16
Southern,18,3169,1305,47,21,9.27
Southern,19,2602,1001,34,15,7.47
Southern,20,4187,772,43,10,10.28
Southern,21,3156,1572,43,20,9.80
Southern,22,447,369,8,5,1.69
